Temperature,Frequency,Time
30,50.04,10:15
30,50.03,10:18
30,49.97,10:20
30,50.05,10:23
30,50.04,10:26
30,50.05,10:28
30,50.05,10:31
30,50.01,10:33
30,49.98,10:36
30,49.98,10:38
30,49.98,10:41
31,50.02,10:44
31,49.97,10:46
31,49.98,10:49
31,49.95,10:51
31,49.99,10:54
31,49.96,10:57
31,50.05,10:59
31,50.04,11:02
31,50.01,11:04
31,49.93,11:07
31,49.92,11:10
31,49.98,11:12
31,49.94,11:15
31,49.97,11:18
31,49.96,11:20
31,49.93,11:23
31,49.96,11:26
31,49.96,11:28
31,49.91,11:31
31,49.95,11:34
31,49.93,11:36
31,49.94,11:39
31,49.92,11:42
31,49.94,11:44
31,50.01,11:47
31,49.96,11:49
31,49.94,11:52
31,49.96,11:55
31,49.96,11:57
31,49.97,12:00
31,49.99,12:02
31,49.96,12:05
31,49.97,12:07
31,49.96,12:10
31,49.91,12:13
31,50.03,12:17
31,50,12:19
31,50.04,12:22
31,50.05,12:24
31,50.06,12:27
31,50.04,12:30
31,50.01,12:32
31,50.05,12:35
32,50.07,12:38
32,50.04,12:40
32,50.07,12:43
32,50.03,12:45
32,49.97,12:48
32,49.97,12:50
32,50.06,12:53
32,50.05,12:56
32,50.06,12:58
32,50.08,13:01
32,50.23,13:03
32,50.21,13:06
32,50.23,13:08
32,50.23,13:11
32,50.17,13:13
32,50.14,13:16
32,50.13,13:19
32,50.08,13:21
32,50.08,13:24
32,50.08,13:26
32,50.03,13:29
32,50.04,13:31
32,49.98,13:34
32,49.99,13:37
32,49.94,13:39
32,49.94,13:42
32,49.95,13:44
32,49.97,13:47
32,49.92,13:49
32,49.96,13:52
32,49.92,13:54
32,49.96,13:57
32,49.97,14:00
32,50.04,14:02
32,50.02,14:05
32,49.96,14:08
32,49.95,14:10
32,49.89,14:13
32,49.95,14:17
32,50.01,14:20
32,49.98,14:23
32,49.97,14:25
32,50.02,14:28
32,49.99,14:30
32,49.99,14:33
32,49.97,14:35
32,49.93,14:38
32,49.95,14:41
32,49.91,14:43
32,49.91,14:46
32,49.9,14:48
32,49.86,14:51
32,49.84,14:54
32,49.81,14:56
32,49.8,14:59
32,49.87,15:01
32,49.96,15:04
32,49.98,15:06
32,49.89,15:09
32,49.85,15:12
32,49.86,15:14
32,49.8,15:17
32,49.86,15:19
32,49.91,15:22
32,49.92,15:24
32,49.95,15:27
32,49.97,15:30
32,49.87,15:32
32,49.86,15:35
32,49.77,15:37
32,49.82,15:40
31,49.86,15:42
31,49.81,15:45
31,49.84,15:48
31,49.93,15:50
31,49.89,15:53
31,49.92,15:55
31,49.99,15:58
31,50.05,16:00
31,50.1,16:03
31,50.04,16:06
31,50,16:08
31,49.97,16:11
31,49.98,16:13
31,50.07,16:18
31,50.05,16:21
31,49.99,16:23
31,50.03,16:26
31,50.05,16:28
31,50.05,16:31
31,50.07,16:34
31,50,16:36
31,49.96,16:39
31,50,16:41
31,50.04,16:44
31,50.04,16:46
31,50.06,16:49
31,50.05,16:52
31,50.02,16:54
31,49.97,16:57
31,50.04,16:59
31,50.08,17:02
31,50.1,17:05
31,50.05,17:07
31,50.04,17:10
31,50,17:12
31,50.04,17:15
31,50.05,17:17
31,50.1,17:20
31,50.08,17:23
31,50.07,17:25
31,50.07,17:28
31,50.06,17:30
31,50.1,17:33
31,50.13,17:35
31,50.08,17:38
31,50.04,17:41
30,50.07,17:43
30,50.07,17:46
30,50.06,17:48
30,50.08,17:51
30,50.03,17:54
30,50.05,17:56
30,50.03,17:59
30,50.07,18:01
30,50.07,18:04
30,50.04,18:06
30,49.98,18:09
30,49.98,18:12
30,49.98,18:14
30,50.02,18:17
30,49.99,18:20
30,50.06,18:22
30,50.07,18:30
30,50.12,18:33
30,50.08,18:36
30,50.06,18:38
30,50.03,18:41
30,50.09,18:43
30,50.09,18:46
30,50.13,18:48
30,50.18,18:51
30,50.07,18:53
30,50.06,18:56
30,50.04,18:58
30,50.05,19:01
30,50.12,19:03
30,50.07,19:06
30,50.04,19:08
30,50.03,19:11
30,50.03,19:13
30,49.93,19:16
30,49.93,19:18
30,50.05,19:21
30,50.04,19:23
30,49.97,19:26
30,50,19:28
30,50.04,19:31
30,50,19:33
29,50,19:36
29,49.96,19:39
29,49.95,19:41
29,49.99,19:44
29,50,19:47
29,49.98,19:49
29,49.97,19:52
29,49.98,19:54
29,50,19:57
29,50.02,19:59
29,49.99,20:02
29,50.02,20:04
29,49.96,20:07
29,49.93,20:09
29,49.93,20:12
29,49.91,20:14
29,49.87,20:17
29,49.85,20:19
29,49.89,20:22
29,49.89,20:24
29,49.95,20:27
29,49.95,20:30
29,49.99,20:32
29,49.91,20:35
29,49.87,20:37
29,49.85,20:40
28,49.87,20:42
28,49.86,20:45
28,49.85,20:47
28,49.88,20:50
28,49.91,20:52
28,49.89,20:55
28,50.04,20:57
28,50.06,21:00
28,49.97,21:02
28,49.98,21:05
28,50.01,21:07
28,50,21:10
28,50.03,21:13
28,49.98,21:15
28,49.98,21:18
28,50.04,21:20
28,50.04,21:23
28,50.05,21:25
28,50.04,21:28
28,50.02,21:30
28,50.04,21:33
28,50.07,21:35
28,50.03,21:38
28,50.05,21:41
28,50.02,21:43
28,50,21:46
28,50.05,21:48
28,50.02,21:51
28,50.03,21:53
28,50.05,21:56
28,50.06,21:59
28,50.08,22:01
28,50.08,22:04
28,50.03,22:06
28,50.03,22:09
28,50.06,22:11
28,50.04,22:14
28,50.05,22:17
28,50.02,22:19
28,50.05,22:22
28,50.09,22:24
28,50.06,22:27
28,50.06,22:29
28,50.08,22:32
28,50.06,22:35
28,50.05,22:37
28,50.09,22:40
28,50.06,22:42
28,50.06,22:45
28,50.08,22:47
28,50.07,22:50
28,50.09,22:52
28,50.09,22:55
28,50.06,22:57
28,50.05,23:00
28,50.04,23:02
28,50.03,23:05
28,50.04,23:07
28,50.07,23:10
28,50.07,23:12
28,50.08,23:15
28,50.06,23:17
28,50.08,23:20
28,50.11,23:22
28,50.1,23:25
28,50.08,23:27
28,50.04,23:30
28,50.07,23:32
28,50.06,23:35
28,50.03,23:37
27,50.04,23:40
27,50.08,23:43
27,50.08,23:45
27,50.07,23:48
27,50.06,23:50
27,50.05,23:53
27,50.1,23:55
27,50.09,23:58
27,50.04,0:00
27,50.04,0:03
27,49.97,0:05
27,50.03,0:08
27,50.02,0:10
27,50.02,0:13
27,50.01,0:15
27,50.01,0:18
27,50.02,0:20
27,50.01,0:23
27,50.03,0:25
27,50.04,0:28
27,49.96,0:30
27,49.99,0:35
27,50.01,0:37
27,50,0:40
27,49.98,0:42
27,49.97,0:45
27,49.98,0:47
27,50.02,0:50
27,49.99,0:52
27,50.01,0:55
27,49.98,0:57
27,49.96,1:00
27,49.92,1:02
27,49.97,1:05
27,50.02,1:07
27,50,1:10
27,50.04,1:12
27,50.02,1:15
27,50.02,1:17
27,50.01,1:20
27,49.98,1:22
27,50.01,1:25
27,49.98,1:27
27,49.96,1:30
27,49.94,1:32
27,49.95,1:35
27,50,1:38
27,49.98,1:40
27,49.95,1:43
27,50,1:45
27,50.01,1:48
27,49.99,1:50
27,50.02,1:53
27,50.03,1:55
27,50.01,1:58
27,50,2:00
27,50.03,2:03
27,50,2:05
27,50.01,2:08
27,50.03,2:10
27,49.96,2:13
27,50.04,2:15
27,50,2:18
27,50.03,2:20
27,50,2:23
27,50.03,2:25
27,50,2:28
27,50.04,2:30
27,49.94,2:33
27,49.99,2:36
27,50,2:38
27,50,2:41
27,50.02,2:43
27,50.01,2:46
27,50.03,2:48
27,49.97,2:51
27,50.02,2:53
27,50.03,2:56
27,50.06,2:58
27,50.05,3:01
27,50.05,3:03
27,50.09,3:06
27,50.08,3:08
27,50.05,3:11
27,50.05,3:13
27,50.05,3:16
27,50.04,3:18
27,50.03,3:21
27,50.02,3:23
27,50.04,3:26
27,50.06,3:28
27,50.07,3:31
27,50,3:33
27,50.03,3:36
27,50.05,3:38
27,50.05,3:41
27,50.01,3:43
27,50.05,3:46
27,50.05,3:48
27,50.05,3:51
27,50.04,3:53
27,50.06,3:56
27,50.05,3:58
27,50.03,4:01
27,50.02,4:03
27,50.02,4:06
27,50.02,4:08
27,50.02,4:11
27,50.01,4:14
27,49.97,4:16
27,49.99,4:19
27,49.95,4:21
27,50,4:24
27,49.98,4:26
27,49.99,4:29
27,49.98,4:32
27,50.02,4:34
27,49.99,4:37
26,50,4:39
26,50.03,4:42
26,50.01,4:44
26,49.95,4:47
26,50.02,4:50
26,50.03,4:52
26,50,4:55
26,50.04,4:57
26,50.03,5:00
26,50.08,5:02
26,50.07,5:05
26,50.04,5:07
26,50.02,5:10
26,49.97,5:12
26,50,5:15
26,50.01,5:17
26,50.03,5:20
26,50,5:22
26,49.99,5:25
26,50.04,5:27
26,49.98,5:30
26,50.05,5:32
26,49.98,5:35
26,49.91,5:38
26,49.96,5:40
26,49.97,5:43
26,50.04,5:45
26,50.05,5:48
26,49.97,5:50
26,49.96,5:53
26,50.03,5:55
26,49.96,5:58
26,49.99,6:00
26,50.06,6:03
26,50.02,6:05
26,49.93,6:08
26,49.96,6:10
26,49.98,6:13
26,50.01,6:15
26,49.96,6:18
26,49.96,6:20
26,49.96,6:23
26,49.99,6:25
26,49.97,6:28
26,50.03,6:30
26,50,6:33
26,49.98,6:35
26,49.99,6:38
27,49.99,6:41
27,49.98,6:43
27,50,6:46
27,50,6:48
27,49.95,6:51
27,50.02,6:53
27,50.01,6:56
27,49.99,6:58
27,50.03,7:01
27,50.01,7:03
27,50.01,7:06
27,50.02,7:09
27,49.98,7:11
27,50.04,7:14
27,49.98,7:16
27,49.95,7:19
27,49.95,7:21
27,49.98,7:24
27,49.98,7:26
27,49.99,7:29
27,49.92,7:31
27,49.92,7:34
27,49.9,7:36
27,49.9,7:39
27,49.9,7:41
27,49.92,7:44
27,50,7:46
27,49.99,7:49
27,49.95,7:51
27,50,7:54
27,49.98,7:56
27,50.02,7:59
27,50,8:01
27,50.01,8:04
27,49.96,8:06
27,50.01,8:09
27,49.98,8:11
27,49.98,8:14
27,49.99,8:16
27,49.93,8:19
27,50.02,8:21
27,50.05,8:24
27,50,8:26
27,49.98,8:29
27,50,8:32
27,50.01,8:34
27,49.99,8:37
27,49.98,8:40
28,49.95,8:42
28,49.95,8:45
28,49.94,8:47
28,50.01,8:50
28,49.95,8:52
28,49.98,8:55
28,50.01,8:57
28,50.02,9:00
28,50.05,9:02
28,50.05,9:05
28,49.96,9:07
28,49.99,9:10
28,49.99,9:12
28,50.03,9:15
28,50,9:17
28,50.02,9:20
28,50.05,9:23
28,50.06,9:25
28,50.02,9:28
28,50.06,9:30
28,50.06,9:33
28,50.03,9:35
28,50.06,9:38
29,50.02,9:40
29,50,9:43
29,50.07,9:45
29,50.06,9:48
29,49.98,9:50
29,49.97,9:53
29,50.02,9:55
29,50.01,9:58
29,50.01,10:00
29,50.04,10:03
29,50.05,10:05
29,50.05,10:08
29,49.98,10:10
29,50.03,10:13
29,50,10:16
29,50.02,10:18
29,50.04,10:21
29,50.06,10:23
29,50.06,10:26
29,50.1,10:28
29,50.1,10:31
29,50.16,10:33
29,50.18,10:36
29,50.2,10:38
29,50.2,10:42
29,50.19,10:45
29,50.16,10:47
29,50.16,10:50